Product name,SKUID,String ID
"Dynamics 365 Field Service, Enterprise Edition - Resource Scheduling Optimization",977464c4-bfaf-4b67-b761-a9bb735a2196,CRM_AUTO_ROUTING_ADDON
Dynamics 365 Finance,55c9eb4e-c746-45b4-b255-9ab6b19d5c62,DYN365_FINANCE
Dynamics 365 Finance Attach to Qualifying Base Offer Embedded with Project Management & Accounting,db5bd06c-b99a-4c54-98e9-90fea5164c88,DYN365_FINANCE_ATTACH_ISVEMB_PROJOPS
Dynamics 365 for Case Management Enterprise Edition,d39fb075-21ae-42d0-af80-22a2599749e0,DYN365_ENTERPRISE_CASE_MANAGEMENT
"Dynamics 365 for Case Management, Enterprise Edition for Government (D365_ENTERPRISE_CASE_MANAGEMENT_GOV)",5cd0b796-9ac8-4792-9f0b-796ca9044e4a,D365_ENTERPRISE_CASE_MANAGEMENT_GOV
"Dynamics 365 for Case Management, Enterprise Edition for Government (DYN365_ENTERPRISE_CASE_MANAGEMENT_GOV)",ff5a82be-1edd-4d48-94e0-52527825b589,DYN365_ENTERPRISE_CASE_MANAGEMENT_GOV
Dynamics 365 for Customer Service Chat,7d7af6c2-0be6-46df-84d1-c181b0272909,DYN365_CS_CHAT
Dynamics 365 for Customer Service Chat for Government,1b399f66-be2a-479c-a79d-84a43a46f79e,DYN365_CS_CHAT_GOV
Dynamics 365 for Customer Service Digital Messaging add-on for Government,336dfe1f-3b33-4ab4-b395-cba8f614976d,DYN365_CS_MESSAGING_GOV
Dynamics 365 for Customer Service Enterprise Attach to Qualifying Dynamics 365 Base Offer A,eb18b715-ea9d-4290-9994-2ebf4b5042d2,D365_CUSTOMER_SERVICE_ENT_ATTACH
Dynamics 365 for Customer Service Enterprise Edition,749742bf-0d37-4158-a120-33567104deeb,DYN365_ENTERPRISE_CUSTOMER_SERVICE
Dynamics 365 for Customer Service Enterprise for Government,65758a5f-2e16-43b3-a8cb-296cd8f69e09,D365_ENTERPRISE_CUSTOMER_SERVICE_GOV
Dynamics 365 for Customer Service Professional Attach to Qualifying Dynamics 365 Base Offer,19dec69d-d9f3-4792-8a39-d8ecdf51937b,D365_CUSTOMER_SERVICE_PRO_ATTACH
"Dynamics 365 for Customer Service, Enterprise Edition for Government",3c74d823-8f01-4fe8-82d5-f089a5504cec,DYN365_ENTERPRISE_CUSTOMER_SERVICE_GOV
Dynamics 365 for Field Service Attach to Qualifying Dynamics 365 Base Offer,a36cdaa2-a806-4b6e-9ae0-28dbd993c20e,D365_FIELD_SERVICE_ATTACH
Dynamics 365 for Field Service Enterprise Edition,c7d15985-e746-4f01-b113-20b575898250,DYN365_ENTERPRISE_FIELD_SERVICE
Dynamics 365 for Field Service Enterprise Edition for Government,c3d74ead-70b7-4513-8dce-797be3fbe07a,DYN365_ENTERPRISE_FIELD_SERVICE_GOV
Dynamics 365 for Field Service for Government,8eac9119-7e6b-4278-9dc4-e3458993b08a,D365_ENTERPRISE_FIELD_SERVICE_GOV
Dynamics 365 for Finance Attach to Qualifying Dynamics 365 Base Offer,d721f2e4-099b-4105-b40e-872e46cad402,DYN365_FINANCE_ATTACH
Dynamics 365 for Financials Business Edition,cc13a803-544e-4464-b4e4-6d6169a138fa,DYN365_FINANCIALS_BUSINESS_SKU
Dynamics 365 for Marketing Additional Application,99c5688b-6c75-4496-876f-07f0fbd69add,DYN365_MARKETING_APPLICATION_ADDON
Dynamics 365 for Marketing Additional Non-Prod Application,c393e9bd-2335-4b46-8b88-9e2a86a85ec1,DYN365_MARKETING_SANDBOX_APPLICATION_ADDON
Dynamics 365 for Marketing Addnl Contacts Tier 1,fc4581aa-6b1f-459d-95b6-84bd49d6f843,DYN365_MARKETING_CONTACT_ADDON
Dynamics 365 for Marketing Addnl Contacts Tier 3,23053933-0fda-431f-9a5b-a00fd78444c1,DYN365_MARKETING_CONTACT_ADDON_T3
Dynamics 365 for Marketing Addnl Contacts Tier 5,d8eec316-778c-4f14-a7d1-a0aca433b4e7,DYN365_MARKETING_CONTACT_ADDON_T5
Dynamics 365 for Marketing Attach,85430fb9-02e8-48be-9d7e-328beb41fa29,DYN365_MARKETING_APP_ATTACH
Dynamics 365 for Marketing Business Edition,238e2f8d-e429-4035-94db-6926be4ffe7b,DYN365_BUSINESS_MARKETING
Dynamics 365 for Marketing USL,4b32a493-9a67-4649-8eb9-9fc5a5f75c12,D365_MARKETING_USER
Dynamics 365 for Project Service Automation Enterprise Edition for Government,1ec19b5f-7542-4b20-b01f-fb5d3f040e2d,DYN365_ENTERPRISE_PROJECT_SERVICE_AUTOMATION_GOV
Dynamics 365 for Project Service Automation for Government,6c827f0a-42cb-4cff-b1cd-f4104c16ede3,D365_ENTERPRISE_PROJECT_SERVICE_AUTOMATION_GOV
Dynamics 365 for Sales and Customer Service Enterprise Edition,8edc2cf8-6438-4fa9-b6e3-aa1660c640cc,DYN365_ENTERPRISE_SALES_CUSTOMERSERVICE
Dynamics 365 for Sales Enterprise Edition,1e1a282c-9c54-43a2-9310-98ef728faace,DYN365_ENTERPRISE_SALES
Dynamics 365 for Sales Enterprise for Government,e85b3345-2fd5-45cf-a196-7968d3e18e56,D365_ENTERPRISE_SALES_GOV
Dynamics 365 For Sales Professional,be9f9771-1c64-4618-9907-244325141096,D365_SALES_PRO
Dynamics 365 for Sales Professional for Government,229fa362-9d30-4dbc-8110-21b77a7f9b26,D365_SALES_PRO_GOV
"Dynamics 365 for Sales, Enterprise Edition for Government",28b275ce-aec7-4c26-82e2-1ffbc2746ad4,DYN365_ENTERPRISE_SALES_GOV
Dynamics 365 for Supply Chain Management,f2e48cb3-9da0-42cd-8464-4a54ce198ad0,DYN365_SCM
